index,time_pos,lat,lon,alt,err_x,err_y,err_z,vx,vy,vz,speed_norm
153,15-16-04,48.6298934,7.78927,148.11,42.60989589038319,-0.12493422039857681,1.8899999999999864,2.0,-0.12493422039857681,1.0,2.0038983405918076
156,15-16-04,48.6298952,7.7892698,148.21,42.40974502245427,-0.1102360748177008,1.789999999999992,2.0,-0.1102360748177008,1.0,2.0030356941880028
159,15-16-04,48.6298969,7.7892696,148.31,42.22071364731974,-0.09553792992107928,1.6899999999999977,2.0,-0.09553792992107928,1.0,2.0022805737592333
162,15-16-04,48.6298986,7.7892694,148.41,42.031682272185215,-0.0808397855196431,1.5900000000000034,2.0,-0.0808397855196431,1.0,2.001633100976016
165,15-16-04,48.6299003,7.7892693,148.51,41.8426508962606,-0.07349071285300138,1.490000000000009,2.0,-0.07349071285300138,1.0,2.001349765752014
168,15-16-05,48.629902,7.7892691,148.6,41.653619521126075,-0.058792569318139525,1.4000000000000057,2.0,-0.058792569318139525,1.0,2.0008639549472194
171,15-16-05,48.6299038,7.789269,148.69,41.45346865319715,-0.05144349721950453,1.3100000000000023,2.0,-0.05144349721950453,1.0,2.000661498956326
174,15-16-05,48.6299057,7.7892688,148.78,41.24219829247382,-0.03674535449295993,1.2199999999999989,2.0,-0.03674535449295993,1.0,2.0003375267881203
177,15-16-05,48.6299073,7.7892686,148.87,41.0642864101337,-0.022047212320124195,1.1299999999999955,2.0,-0.022047212320124195,1.0,2.0001215162012254
180,15-16-05,48.6299092,7.7892683,148.96,40.85301604941037,0.0,1.039999999999992,2.0,0.0,1.0,2.0
183,15-16-05,48.6299109,7.789268,149.05,40.663984674275845,0.022047211533653282,0.9499999999999886,2.0,0.022047211533653282,0.9499999999999886,2.0001215161925563
186,15-16-05,48.6299127,7.7892677,149.14000000000001,40.46383380634692,0.04409442228083563,0.8599999999999852,2.0,0.04409442228083563,0.8599999999999852,2.000486020465097
189,15-16-05,48.6299146,7.7892675,149.24,40.25256344562359,0.05879256191247152,0.7599999999999909,2.0,0.05879256191247152,0.7599999999999909,2.0008639547296143
192,15-16-05,48.6299165,7.7892674,149.33,40.04129308490027,0.06614163093076211,0.6699999999999875,2.0,0.06614163093076211,0.6699999999999875,2.001093379965608
195,15-16-06,48.6299183,7.7892674,149.43,39.84114221697134,0.06614162975105567,0.5699999999999932,2.0,0.06614162975105567,0.5699999999999932,2.0010933799266155
198,15-16-06,48.6299202,7.7892674,149.53,39.62987185624802,0.06614162850580996,0.46999999999999886,2.0,0.06614162850580996,0.46999999999999886,2.001093379885457
201,15-16-06,48.6299221,7.7892674,149.64000000000001,39.41860149552469,0.06614162726056423,0.3599999999999852,2.0,0.06614162726056423,0.3599999999999852,2.001093379844298
204,15-16-06,48.6299239,7.7892673,149.74,39.21845062759577,0.07349069566715512,0.2599999999999909,2.0,0.07349069566715512,0.2599999999999909,2.00134976512094
207,15-16-06,48.6299257,7.7892673,149.84,39.01829975966684,0.07349069435637008,0.1599999999999966,2.0,0.07349069435637008,0.1599999999999966,2.0013497650728076
210,15-16-06,48.6299276,7.7892673,149.94,38.80702939894352,0.07349069297276366,0.060000000000002274,2.0,0.07349069297276366,0.060000000000002274,2.0013497650220007
213,15-16-06,48.6299295,7.7892674,150.03,38.59575903822019,0.06614162241065964,-0.030000000000001137,2.0,0.06614162241065964,-0.030000000000001137,2.0010933796839954
216,15-16-06,48.6299312,7.7892675,150.11,38.40672766308567,0.05879255224179113,-0.11000000000001364,2.0,0.05879255224179113,-0.11000000000001364,2.000863954445455
219,15-16-06,48.6299332,7.7892677,150.20000000000002,38.184337809567936,0.04409441332380483,-0.20000000000001705,2.0,0.04409441332380483,-0.20000000000001705,2.0004860202676675
222,15-16-07,48.6299351,7.7892679,150.27,37.973067449634705,0.02939627501751824,-0.27000000000001023,2.0,0.02939627501751824,-0.27000000000001023,2.0002160235796795
225,15-16-07,48.6299372,7.789268,150.35,37.73955810332257,0.02204720578804567,-0.3499999999999943,2.0,0.02204720578804567,-0.3499999999999943,2.0001215161292225
228,15-16-07,48.629939,7.7892681,150.4,37.539407235393654,0.014698136908115802,-0.4000000000000057,2.0,0.014698136908115802,-0.4000000000000057,2.000054008077924
231,15-16-07,48.6299409,7.789268,150.46,37.32813687467033,0.022047204979728157,-0.46000000000000796,2.0,0.022047204979728157,-0.46000000000000796,2.0001215161203127
234,15-16-07,48.6299427,7.7892679,150.5,37.1279860067414,0.029396272803747753,-0.5,2.0,0.029396272803747753,-0.5,2.0002160235471447
237,15-16-07,48.6299446,7.7892679,150.53,36.916715646018076,0.02939627225030511,-0.5300000000000011,2.0,0.02939627225030511,-0.5300000000000011,2.000216023539011
240,15-16-07,48.6299466,7.789268,150.55,36.69432579329044,0.022047203734482216,-0.5500000000000114,2.0,0.022047203734482216,-0.5500000000000114,2.0001215161065864
243,15-16-07,48.6299484,7.7892679,150.56,36.494174924571425,0.029396271143419802,-0.5600000000000023,2.0,0.029396271143419802,-0.5600000000000023,2.0002160235227437
246,15-16-07,48.6299503,7.7892678,150.56,36.28290456463819,0.036745338188516795,-0.5600000000000023,2.0,0.036745338188516795,-0.5600000000000023,2.0003375264886145
249,15-16-08,48.629952,7.7892677,150.54,36.09387318871357,0.04409440510955097,-0.539999999999992,2.0,0.04409440510955097,-0.539999999999992,2.00048602008661
252,15-16-08,48.6299538,7.7892675,150.51,35.89372232078465,0.05879253907568209,-0.5099999999999909,2.0,0.05879253907568209,-0.5099999999999909,2.0008639540585875
255,15-16-08,48.6299556,7.7892674,150.48,35.69357145285572,0.06614160530491289,-0.47999999999998977,2.0,0.06614160530491289,-0.47999999999998977,2.0010933791186036
258,15-16-08,48.6299573,7.7892673,150.44,35.504540077721195,0.07349067134480801,-0.4399999999999977,2.0,0.07349067134480801,-0.4399999999999977,2.00134976422781
261,15-16-08,48.6299591,7.7892673,150.4,35.30438920979227,0.07349067003402265,-0.4000000000000057,2.0,0.07349067003402265,-0.4000000000000057,2.001349764179677
264,15-16-08,48.6299609,7.7892673,150.35,35.10423834186334,0.07349066872323728,-0.3499999999999943,2.0,0.07349066872323728,-0.3499999999999943,2.0013497641315445
267,15-16-08,48.6299626,7.7892674,150.3,34.91520696672882,0.06614160071716413,-0.30000000000001137,2.0,0.06614160071716413,-0.30000000000001137,2.001093378966966
270,15-16-08,48.6299643,7.7892675,150.24,34.72617559159429,0.05879253295868376,-0.2400000000000091,2.0,0.05879253295868376,-0.2400000000000091,2.000863953878848
273,15-16-09,48.629966,7.7892675,150.17000000000002,34.53714421566968,0.05879253196831256,-0.17000000000001592,2.0,0.05879253196831256,-0.17000000000001592,2.0008639538497475
276,15-16-09,48.6299677,7.7892676,150.1,34.34811284053515,0.051443464646494186,-0.09999999999999432,2.0,0.051443464646494186,-0.09999999999999432,2.0006614981187685
279,15-16-09,48.6299695,7.7892678,150.02,34.147961972606225,0.03674533119766151,-0.020000000000010232,2.0,0.03674533119766151,-0.020000000000010232,2.0003375263601955
282,15-16-09,48.6299712,7.789268,149.95000000000002,33.95893059747169,0.022047198360262255,0.04999999999998295,2.0,0.022047198360262255,0.04999999999998295,2.0001215160473467
285,15-16-09,48.6299731,7.7892679,149.89000000000001,33.747660236748374,0.029396263948664517,0.10999999999998522,2.0,0.029396263948664517,0.10999999999998522,2.0002160234170057
288,15-16-09,48.6299749,7.7892679,149.83,33.54750936881945,0.02939626342435031,0.1699999999999875,2.0,0.02939626342435031,0.1699999999999875,2.0002160234093003
291,15-16-09,48.6299763,7.7892679,149.76,33.39183647127803,0.029396263016550364,0.2400000000000091,2.0,0.029396263016550364,0.2400000000000091,2.000216023403307
294,15-16-09,48.629978,7.789268,149.71,33.2028050961435,0.022047196874705337,0.28999999999999204,2.0,0.022047196874705337,0.28999999999999204,2.0001215160309718
297,15-16-09,48.6299797,7.7892681,149.66,33.01377372100898,0.014698130980453123,0.3400000000000034,2.0,0.014698130980453123,0.3400000000000034,2.0000540080343625
300,15-16-10,48.6299814,7.7892683,149.61,32.82474234587445,0.0,0.38999999999998636,2.0,0.0,0.38999999999998636,2.0
303,15-16-10,48.629983,7.7892686,149.56,32.64683046274424,-0.022047195782384024,0.4399999999999977,2.0,-0.022047195782384024,0.4399999999999977,2.000121516018931
306,15-16-10,48.6299846,7.7892688,149.52,32.46891858040411,-0.036745325764917194,0.47999999999998977,2.0,-0.036745325764917194,0.47999999999998977,2.0003375262603984
309,15-16-10,48.6299862,7.789269,149.49,32.29100669806398,-0.051443455216120454,0.5099999999999909,2.0,-0.051443455216120454,0.5099999999999909,2.0006614978762833
312,15-16-10,48.6299879,7.7892691,149.47,32.10197532213937,-0.058792519275272806,0.5300000000000011,2.0,-0.058792519275272806,0.5300000000000011,2.000863953476781
315,15-16-10,48.6299897,7.7892691,149.46,31.901824454210445,-0.058792518226644275,0.539999999999992,2.0,-0.058792518226644275,0.539999999999992,2.0008639534459682
318,15-16-10,48.6299916,7.7892691,149.45000000000002,31.690554094277203,-0.058792517119758594,0.549999999999983,2.0,-0.058792517119758594,0.549999999999983,2.000863953413444
321,15-16-10,48.6299934,7.7892691,149.46,31.49040322634828,-0.05879251607113005,0.539999999999992,2.0,-0.05879251607113005,0.539999999999992,2.000863953382632
324,15-16-11,48.6299953,7.789269,149.47,31.279132865624952,-0.051443450577395584,0.5300000000000011,2.0,-0.051443450577395584,0.5300000000000011,2.0006614977570067
327,15-16-11,48.6299971,7.789269,149.49,31.07898199769603,-0.05144344965984557,0.5099999999999909,2.0,-0.05144344965984557,0.5099999999999909,2.0006614977334136
330,15-16-11,48.6299993,7.789269,149.52,30.8343531585895,-0.051443448538395525,0.47999999999998977,2.0,-0.051443448538395525,0.47999999999998977,2.000661497704577
333,15-16-11,48.630001,7.789269,149.55,30.64532178345498,-0.0514434476718205,0.44999999999998863,2.0,-0.0514434476718205,0.44999999999998863,2.000661497682295
336,15-16-11,48.6300029,7.789269,149.58,30.434051422731656,-0.051443446703295446,0.4199999999999875,2.0,-0.051443446703295446,0.4199999999999875,2.000661497657391
339,15-16-11,48.6300048,7.789269,149.62,30.222781062008327,-0.051443445734770374,0.37999999999999545,2.0,-0.051443445734770374,0.37999999999999545,2.0006614976324872
342,15-16-11,48.6300067,7.789269,149.66,30.011510701285005,-0.05144344476624528,0.3400000000000034,2.0,-0.05144344476624528,0.3400000000000034,2.000661497607583
345,15-16-11,48.6300086,7.789269,149.69,29.800240341351763,-0.05144344379772019,0.3100000000000023,2.0,-0.05144344379772019,0.3100000000000023,2.0006614975826795
348,15-16-11,48.6300105,7.7892691,149.74,29.58896998062844,-0.058792506109158024,0.2599999999999909,2.0,-0.058792506109158024,0.2599999999999909,2.0008639530899135
351,15-16-12,48.6300123,7.789269,149.79,29.38881911269951,-0.05144344191164495,0.21000000000000796,2.0,-0.05144344191164495,0.21000000000000796,2.0006614975341823
354,15-16-12,48.6300144,7.789269,149.84,29.15530976638739,-0.0514434408411698,0.1599999999999966,2.0,-0.0514434408411698,0.1599999999999966,2.000661497506657
357,15-16-12,48.6300163,7.7892689,149.89000000000001,28.94403940566406,-0.04409437701504604,0.10999999999998522,2.0,-0.04409437701504604,0.10999999999998522,2.0004860194673557
360,15-16-12,48.6300186,7.7892689,149.95000000000002,28.68829107455323,-0.044094376010110146,0.04999999999998295,2.0,-0.044094376010110146,0.04999999999998295,2.000486019445205
363,15-16-12,48.6300205,7.7892689,150.01,28.477020713829905,-0.044094375179945695,-0.009999999999990905,2.0,-0.044094375179945695,-0.009999999999990905,2.0004860194269067
366,15-16-12,48.6300224,7.7892688,150.06,28.26575035310658,-0.03674531200166622,-0.060000000000002274,2.0,-0.03674531200166622,-0.060000000000002274,2.0003375260075735
369,15-16-12,48.6300244,7.7892687,150.12,28.043360499588854,-0.02939624900570686,-0.12000000000000455,2.0,-0.02939624900570686,-0.12000000000000455,2.000216023197396
372,15-16-12,48.6300261,7.7892686,150.18,27.854329124454328,-0.022047186366572574,-0.18000000000000682,2.0,-0.022047186366572574,-0.18000000000000682,2.0001215159151413
375,15-16-13,48.6300278,7.7892687,150.23,27.6652977493198,-0.029396248015335198,-0.22999999999998977,2.0,-0.029396248015335198,-0.22999999999998977,2.000216023182841
378,15-16-13,48.6300294,7.7892687,150.28,27.487385866979672,-0.02939624754927793,-0.28000000000000114,2.0,-0.02939624754927793,-0.28000000000000114,2.0002160231759913
381,15-16-13,48.630031,7.7892687,150.33,27.30947398384946,-0.029396247083220656,-0.3300000000000125,2.0,-0.029396247083220656,-0.3300000000000125,2.000216023169142
